Designator	Val	Footprint	MidX	MidY	Rotation	TB
C14	47µF	0603C	39.4400	42.3700	180.0000	B
C15	4.7µF	0201C	46.0750	48.8500	90.0000	B
C16	470nF	0201C	49.0750	47.8250	90.0000	B
C17	470nF	0201C	56.0750	48.8500	270.0000	B
C18	47µF	0603C	31.9100	64.1800	180.0000	B
C19	4.7µF	0201C	49.0750	52.8500	90.0000	B
C20	470nF	0201C	51.0750	52.8450	270.0000	B
C21	100µF	1206C	63.8700	58.5800	270.0000	B
C22	4.7µF	0201C	48.0750	52.8500	270.0000	B
C23	4.7µF	0201C	51.0750	48.8500	90.0000	B
C24	470nF	0201C	52.0750	52.8500	90.0000	B
C25	470nF	0201C	47.0750	48.8500	270.0000	B
C26	470nF	0201C	53.0750	48.8550	90.0000	B
C27	100µF	1206C	38.6150	44.6100	180.0000	B
C28	4.7µF	0201C	59.6500	52.3200	0.0000	B
C29	4.7µF	0201C	57.7600	40.8900	270.0000	B
C30	470nF	0201C	44.0750	43.8500	270.0000	B
C31	470nF	0201C	45.0750	50.8500	270.0000	B
C32	470nF	0201C	44.0750	48.8500	270.0000	B
C33	470nF	0201C	51.0750	44.8500	90.0000	B
C34	100µF	1206C	51.5300	39.9900	180.0000	B
C35	4.7µF	0201C	58.6900	40.8900	270.0000	B
C36	4.7µF	0201C	59.6500	51.4800	0.0000	B
C37	470nF	0201C	44.0750	52.8500	90.0000	B
C38	470nF	0201C	44.0750	55.8500	270.0000	B
C39	470nF	0201C	47.0750	56.8500	90.0000	B
C40	470nF	0201C	59.6200	40.8900	270.0000	B
C41	100µF	1206C	60.1300	56.5200	90.0000	B
C42	4.7µF	0201C	37.7000	56.7100	180.0000	B
C43	4.7µF	0201C	38.4900	58.7700	180.0000	B
C44	470nF	0201C	59.6500	50.6400	0.0000	B
C45	470nF	0201C	51.0750	55.8500	270.0000	B
C46	470nF	0201C	37.6800	55.8100	180.0000	B
C47	470nF	0201C	47.0750	43.8500	270.0000	B
J5			40.5000	70.0000	180.0000	B
C1	100nF	0402C	65.7350	48.1250	270.0000	T
C2	10nF	0402C	33.7900	61.6000	0.0000	T
C3	470nF	0402C	10.8950	72.3900	270.0000	T
C4	20pF	0402C	24.2050	70.1000	90.0000	T
C5	22µF	0402C	26.0400	68.4250	0.0000	T
C6	20pF	0402C	13.7250	69.9750	90.0000	T
C7	10µF	0402C	11.8000	68.2750	180.0000	T
C8	20pF	0402C	20.1250	66.6850	90.0000	T
C9	10µF	0402C	21.8000	64.9600	0.0000	T
C10	100nF	0402C	9.4900	58.1900	90.0000	T
C11	22µF	0402C	31.1900	75.8300	180.0000	T
C12	1µF	0402C	70.9350	38.0400	270.0000	T
C13	4.7µF	0402C	69.4700	39.9900	90.0000	T
C48	4.7nF	0402C	18.9400	36.6000	0.0000	T
C49	4.7nF	0402C	17.5600	38.6000	0.0000	T
C50	100nF	0402C	33.8500	32.6500	270.0000	T
C51	100nF	0402C	43.8500	32.6500	270.0000	T
C52	100nF	0402C	53.8500	32.6500	270.0000	T
C53	100nF	0402C	63.8500	32.6500	270.0000	T
C54	100nF	0402C	33.8500	30.4500	90.0000	T
C55	100nF	0402C	43.8500	30.4500	90.0000	T
C56	100nF	0402C	53.8500	30.4500	90.0000	T
C57	100nF	0402C	63.8500	30.4500	90.0000	T
C58	4.7µF	0402C	15.9750	52.7200	270.0000	T
C59	100nF	0402C	17.3000	52.7200	270.0000	T
C60	4.7µF	0402C	16.1100	57.0700	90.0000	T
C61	100nF	0402C	17.3600	57.0700	90.0000	T
C62	100nF	0402C	17.3000	50.3450	270.0000	T
C63	100nF	0402C	30.5100	52.3000	0.0000	T
C64	100nF	0402C	19.7000	60.2950	180.0000	T
C65	100nF	0402C	21.9900	47.7800	270.0000	T
C66	100nF	0402C	27.2250	47.8200	270.0000	T
